name,type,value,description,group
AOL,ProtocolPortObject,TCP/5190,,
Bittorrent,ProtocolPortObject,TCP/6881-6889,,
Cisco_TNA_TCP_131,ProtocolPortObject,TCP/131,,
CMIP_TCP_163,ProtocolPortObject,TCP/167,,
DNS_over_TCP,ProtocolPortObject,TCP/53,,
DNS_over_UDP,ProtocolPortObject,UDP/53,,
FTP,ProtocolPortObject,TCP/21,,
FTP_Data_TCP_20,ProtocolPortObject,TCP/20,,
Horizon_MMR_TCP_9427,ProtocolPortObject,TCP/9427,,
HTTP,ProtocolPortObject,TCP/80,,
HTTPS,ProtocolPortObject,TCP/443,,
IMAP,ProtocolPortObject,TCP/143,,
Kerberos_TCP_88,ProtocolPortObject,TCP/88,Kerberos,
Kerberos_UDP_88,ProtocolPortObject,UDP/88,Kerberos,
Kpasswd_TCP_464,ProtocolPortObject,TCP/464,Kerberos change/set password,
Kpasswd_UDP_464,ProtocolPortObject,UDP/464,Kerberos change/set password,
LDAP,ProtocolPortObject,TCP/389,,
LDAP_GC_TCP_3269,ProtocolPortObject,TCP/3269,,
LDAP_UDP_389,ProtocolPortObject,UDP/389,,
LDAPS_TCP_636,ProtocolPortObject,TCP/636,,
LDAPS_UDP_636,ProtocolPortObject,UDP/636,,
MS_Teams,ProtocolPortObject,UDP/3478,,
NFSD-TCP,ProtocolPortObject,TCP/2049,,
NFSD-UDP,ProtocolPortObject,UDP/2049,,
NTP-TCP,ProtocolPortObject,TCP/123,,
NTP-UDP,ProtocolPortObject,UDP/123,,
PCoIP_TCP_4172,ProtocolPortObject,TCP/4172,,
PCoIP_UDP_4172,ProtocolPortObject,UDP/4172,,
POP-2,ProtocolPortObject,TCP/109,,
POP-3,ProtocolPortObject,TCP/110,,
RADIUS,ProtocolPortObject,UDP/1645,,
RIP,ProtocolPortObject,UDP/520,,
RSH_TCP_514,ProtocolPortObject,TCP/514,Remote shell,
SAPRTR_TCP_3299,ProtocolPortObject,TCP/3299,,
SIP,ProtocolPortObject,UDP/5060,,
SIP_TLS_TCP_5061,ProtocolPortObject,TCP/5061,,
SMB_TCP_445,ProtocolPortObject,TCP/445,,
SMTP,ProtocolPortObject,TCP/25,,
SMTPS,ProtocolPortObject,TCP/465,,
SNMP,ProtocolPortObject,UDP/161,,
SSH,ProtocolPortObject,TCP/22,,
Sunrpc_TCP_111,ProtocolPortObject,TCP/111,SUNRPC,
SYSLOG,ProtocolPortObject,UDP/514,,
TCP_20021,ProtocolPortObject,TCP/20021,,
TCP_2010,ProtocolPortObject,TCP/2010,,
TCP_2020,ProtocolPortObject,TCP/2020,,
TCP_20990,ProtocolPortObject,TCP/20990,,
TCP_high_ports,ProtocolPortObject,TCP/1021-65535,,
TELNET,ProtocolPortObject,TCP/23,,
TEST-Cisco_TNA_TCP_131,ProtocolPortObject,TCP/131,,
Test-CMIP_TCP_163,ProtocolPortObject,TCP/163,,
Test-FTP_Data_TCP_20,ProtocolPortObject,TCP/20,,
Test-Horizon_MMR_TCP_9427,ProtocolPortObject,TCP/9427,,
Test-Kerberos_TCP_88,ProtocolPortObject,TCP/88,,
Test-Kerberos_UDP_88,ProtocolPortObject,UDP/88,,
Test-Kpasswd_TCP_464,ProtocolPortObject,TCP/464,,
Test-Kpasswd_UDP_464,ProtocolPortObject,UDP/464,,
Test-LDAP_GC_TCP_3269,ProtocolPortObject,TCP/3269,,
Test-LDAP_UDP_389,ProtocolPortObject,UDP/389,,
Test-LDAPS_TCP_636,ProtocolPortObject,TCP/636,,
Test-LDAPS_UDP_636,ProtocolPortObject,UDP/636,,
Test-MS_Teams,ProtocolPortObject,UDP/3478,,
Test-PCoIP_TCP_4172,ProtocolPortObject,TCP/4172,,
Test-PCoIP_UDP_4172,ProtocolPortObject,UDP/4172,,
Test-RSH_TCP_514,ProtocolPortObject,TCP/514,,
Test-SAPRTR_TCP_3299,ProtocolPortObject,TCP/3299,,
Test-SIP_TLS_TCP_5061,ProtocolPortObject,TCP/5061,,
Test-SMB_TCP_445,ProtocolPortObject,TCP,,
Test-Sunrpc_TCP_111,ProtocolPortObject,TCP/111,,
Test-TCP_20021,ProtocolPortObject,TCP/20021,,
Test-TCP_2010,ProtocolPortObject,TCP/2010,,
Test-TCP_2020,ProtocolPortObject,TCP/2020,,
Test-TCP_20990,ProtocolPortObject,TCP/20990,,
Test-TCP_22443,ProtocolPortObject,TCP/22443,,
Test-TCP_26100-26299,ProtocolPortObject,TCP/26100-26299,,
Test-TCP_32111,ProtocolPortObject,TCP/32111,,
Test-TCP_32115,ProtocolPortObject,TCP/32115,,
Test-TCP_3268,ProtocolPortObject,TCP/3268,,
Test-TCP_3433,ProtocolPortObject,TCP/3433,,
Test-TCP_50000-59999,ProtocolPortObject,TCP/50000-59999,,
Test-TCP_50001,ProtocolPortObject,TCP/50001,,
Test-TCP_50002,ProtocolPortObject,TCP/50002,,
Test-UDP_SNMPTRAP,ProtocolPortObject,UDP/162,,
TFTP,ProtocolPortObject,UDP/69,,
UDP_SNMPTRAP,ProtocolPortObject,UDP/162,SNMP Traps,
Yahoo_Messenger_Messages,ProtocolPortObject,TCP/5050,,
YahooMessenger_Voice_Chat_TCP,ProtocolPortObject,TCP/5000-5001,,
YahooMessenger_Voice_Chat_UDP,ProtocolPortObject,UDP/5000-5010,,
AOL,ProtocolPortObject,TCP/5190,,
Bittorrent,ProtocolPortObject,TCP/6881-6889,,
Cisco_TNA_TCP_131,ProtocolPortObject,TCP/131,,
CMIP_TCP_163,ProtocolPortObject,TCP/167,,
DNS_over_TCP,ProtocolPortObject,TCP/53,,
DNS_over_UDP,ProtocolPortObject,UDP/53,,
FTP,ProtocolPortObject,TCP/21,,
FTP_Data_TCP_20,ProtocolPortObject,TCP/20,,
Horizon_MMR_TCP_9427,ProtocolPortObject,TCP/9427,,
HTTP,ProtocolPortObject,TCP/80,,
HTTPS,ProtocolPortObject,TCP/443,,
IMAP,ProtocolPortObject,TCP/143,,
Kerberos_TCP_88,ProtocolPortObject,TCP/88,Kerberos,
Kerberos_UDP_88,ProtocolPortObject,UDP/88,Kerberos,
Kpasswd_TCP_464,ProtocolPortObject,TCP/464,Kerberos change/set password,
Kpasswd_UDP_464,ProtocolPortObject,UDP/464,Kerberos change/set password,
LDAP,ProtocolPortObject,TCP/389,,
LDAP_GC_TCP_3269,ProtocolPortObject,TCP/3269,,
LDAP_UDP_389,ProtocolPortObject,UDP/389,,
LDAPS_TCP_636,ProtocolPortObject,TCP/636,,
LDAPS_UDP_636,ProtocolPortObject,UDP/636,,
MS_Teams,ProtocolPortObject,UDP/3478,,
NFSD-TCP,ProtocolPortObject,TCP/2049,,
NFSD-UDP,ProtocolPortObject,UDP/2049,,
NTP-TCP,ProtocolPortObject,TCP/123,,
NTP-UDP,ProtocolPortObject,UDP/123,,
PCoIP_TCP_4172,ProtocolPortObject,TCP/4172,,
PCoIP_UDP_4172,ProtocolPortObject,UDP/4172,,
POP-2,ProtocolPortObject,TCP/109,,
POP-3,ProtocolPortObject,TCP/110,,
RADIUS,ProtocolPortObject,UDP/1645,,
RIP,ProtocolPortObject,UDP/520,,
RSH_TCP_514,ProtocolPortObject,TCP/514,Remote shell,
SAPRTR_TCP_3299,ProtocolPortObject,TCP/3299,,
SIP,ProtocolPortObject,UDP/5060,,
SIP_TLS_TCP_5061,ProtocolPortObject,TCP/5061,,
SMB_TCP_445,ProtocolPortObject,TCP/445,,
SMTP,ProtocolPortObject,TCP/25,,
SMTPS,ProtocolPortObject,TCP/465,,
SNMP,ProtocolPortObject,UDP/161,,
SSH,ProtocolPortObject,TCP/22,,
Sunrpc_TCP_111,ProtocolPortObject,TCP/111,SUNRPC,
SYSLOG,ProtocolPortObject,UDP/514,,
TCP_20021,ProtocolPortObject,TCP/20021,,
TCP_2010,ProtocolPortObject,TCP/2010,,
TCP_2020,ProtocolPortObject,TCP/2020,,
TCP_20990,ProtocolPortObject,TCP/20990,,
TCP_high_ports,ProtocolPortObject,TCP/1021-65535,,
TELNET,ProtocolPortObject,TCP/23,,
TEST-Cisco_TNA_TCP_131,ProtocolPortObject,TCP/131,,
